Date,Target,Weekday,Avg temp,Sunshine_minutes,Rain_minutes,Voucher orders,Traffic,SEA Cost,SEA Clicks,Emails accepted,Emails open,Spc dag pos aanloop,Spc dag pos,Spc dag neg
02-05-14,24075,vrijdag,10,36,0,14239,31921,3028.11,8669,1548,989,,,
03-05-14,29,zaterdag,8,714,0,7699,24017,2397.05,6381,,,,,
04-05-14,2823,zondag,8,240,0,12607,28090,3114.51,7951,,,,,
05-05-14,30646,maandag,12,600,0,19240,44667,4468.06,12399,254228,78787,Moederdag,,Bevrijdingsdag
06-05-14,19589,dinsdag,15,114,24,22794,60656,6465.2,16118,938902,245681,Moederdag,,
07-05-14,25065,woensdag,13,246,162,29306,66669,7844.05,18179,,,Moederdag,,
08-05-14,35818,donderdag,12,6,606,37231,77527,10889.92,22848,,,Moederdag,,
09-05-14,106704,vrijdag,13,324,132,46432,104929,17280.25,28031,972222,259715,Moederdag,,
10-05-14,25057,zaterdag,12,78,318,24753,89780,12378.94,19214,945190,268797,Moederdag,,
11-05-14,3318,zondag,10,24,912,17344,47049,3646.48,10625,,,,Moederdag,
12-05-14,52502,maandag,11,174,168,13829,36300,3453.69,9945,,,,,
13-05-14,20315,dinsdag,10,438,36,11944,30897,3116.11,8847,,,,,
14-05-14,20379,woensdag,10,456,36,14725,38256,3181.79,9114,1094410,282606,,,
15-05-14,20552,donderdag,10,474,0,11521,28405,2735.33,7496,,,,,
16-05-14,23127,vrijdag,12,870,0,9174,22306,2123.38,6013,,,,,
17-05-14,,zaterdag,14,864,0,4039,14075,1531.11,3758,,,,,
18-05-14,2195,zondag,16,690,0,7098,17221,1912.34,4942,,,,,
19-05-14,27388,maandag,18,846,0,11518,25432,2530.7,7365,38,35,,,
20-05-14,17919,dinsdag,20,540,72,12129,44814,2555.31,7294,1341686,336139,,,
21-05-14,18383,woensdag,18,252,54,12497,31317,2915,8049,,,,,
22-05-14,19448,donderdag,18,480,60,11200,26473,2626.75,7400,,,,,
23-05-14,23140,vrijdag,16,420,0,10082,23722,2425.61,6752,,,,,
24-05-14,,zaterdag,15,564,0,5454,17058,2059.48,4985,7596,2209,,,
25-05-14,2337,zondag,16,666,0,8364,19214,2219.36,5637,1637,552,,,
26-05-14,35399,maandag,16,48,210,20841,52352,3287.82,9205,1374467,369597,,,
27-05-14,26591,dinsdag,16,6,606,16485,36123,3426.53,9209,610,186,,,
28-05-14,20903,woensdag,13,0,930,13118,29604,2958.62,7735,631,219,,,
29-05-14,682,donderdag,10,0,180,13000,26802,2786.98,7213,1926,757,,,Hemelvaart
30-05-14,35622,vrijdag,12,444,0,13314,24414,2286.72,6591,4018,1467,,,
31-05-14,,zaterdag,13,588,0,13698,19866,1844.8,5256,3551,1192,,,
01-06-14,2239,zondag,14,720,0,6921,20434,2549.16,5687,3969,1358,,,
02-06-14,33275,maandag,14,540,0,9720,26821,3332.57,7372,6686,2318,,,
03-06-14,19184,dinsdag,15,288,30,11613,38052,3304.15,7535,1283793,309270,,,
04-06-14,18644,woensdag,15,120,456,11145,31500,3756.12,8241,8033,2948,,,
05-06-14,19383,donderdag,13,480,132,9603,26501,3517.43,7742,,,,,
